Student_ID,Age,Gender,School_Type,Teacher_Rating,Study_Hour,Sleep_hour,Classroom_Size,Math_Score,English_Score
201,14,1,1,1,7,9,60,85,80
202,15,2,2,2,8,7,55,90,85
203,16,2,1,3,4,12,75,80,75
204,15,1,2,3,10,7,40,95,90
205,14,1,1,2,7.5,7.5,52,88,82
206,16,2,2,3,8,8,50,92,87
207,14,1,2,1,3,13,68,78,73
208,16,2,1,2,7,8,58,86,82
209,15,1,1,3,8,9,53,91,86
210,14,1,2,2,7.8,8,50,89,84
211,16,2,1,1,4,10,72,73,78
212,15,2,2,3,12,6.5,44,87,93
213,14,1,1,3,8,8,50,94,89
214,15,2,2,1,4,12,79,82,77
215,16,2,2,2,7,9,54,88,84
